"go_id"
"215"	"GO:0090322"
"216"	"GO:0106090"
"217"	"GO:1904754"
"218"	"GO:0042531"
"219"	"GO:0060546"
"220"	"GO:0070373"
"221"	"GO:0009749"
"222"	"GO:0034115"
"223"	"GO:0046427"
"224"	"GO:0048008"
"225"	"GO:1903691"
"226"	"GO:1905176"
"227"	"GO:2000780"
"228"	"GO:0010983"
"229"	"GO:1903063"
"230"	"GO:0045717"
"231"	"GO:0070328"
"232"	"GO:0038027"
"233"	"GO:0042593"
"234"	"GO:0070858"
"235"	"GO:0120190"
"236"	"GO:0031393"
"237"	"GO:2000727"
"238"	"GO:0070555"
"239"	"GO:0110023"
"240"	"GO:0002027"
"241"	"GO:1904878"
"242"	"GO:1905001"
"243"	"GO:0043116"
"244"	"GO:1904753"
"245"	"GO:0045542"
"246"	"GO:0045723"
"247"	"GO:0071397"
"248"	"GO:0001819"
"249"	"GO:0051006"
"250"	"GO:1901224"
"251"	"GO:1901726"
"252"	"GO:1904036"
"253"	"GO:1905175"
"254"	"GO:2000353"
"255"	"GO:0001960"
"256"	"GO:0032699"
"257"	"GO:1902564"
"258"	"GO:0072125"
"259"	"GO:0098586"
"260"	"GO:0043031"
"261"	"GO:1903900"
"262"	"GO:1904646"
"263"	"GO:0042742"
"264"	"GO:0034144"
"265"	"GO:1905461"
"266"	"GO:0030513"
"267"	"GO:1905932"
"268"	"GO:0045541"
"269"	"GO:2001216"
"270"	"GO:0106108"
"271"	"GO:0030889"
"272"	"GO:0050869"
"273"	"GO:0010744"
"274"	"GO:0050732"
"275"	"GO:1903609"
"276"	"GO:0033137"
"277"	"GO:0045019"
"278"	"GO:1902083"
"279"	"GO:1904465"
"280"	"GO:2000774"
"281"	"GO:2000342"
"282"	"GO:0045666"
"283"	"GO:1902532"
"284"	"GO:0070498"
"285"	"GO:0140052"
"286"	"GO:0060253"
"287"	"GO:2000736"
"288"	"GO:0002692"
"289"	"GO:0010887"
"290"	"GO:1905709"
"291"	"GO:0045743"
"292"	"GO:0071345"
"293"	"GO:0120132"
"294"	"GO:1902511"
"295"	"GO:0030514"
